Province,Year,Population_Millions,Per_Capita_Spending,Total_Spending_Millions,Public_Spending_Millions,Private_Spending_Millions,Hospital_Spending_Millions,Drug_Spending_Millions,Physician_Spending_Millions
Ontario,2015,15.6,6166,96183.9,68290.6,27893.3,24815.4,13177.2,12792.5
Ontario,2016,15.6,6359,99208.0,70437.7,28770.3,25595.7,13591.5,13194.7
Ontario,2017,15.6,6672,104088.4,73902.8,30185.6,26854.8,14260.1,13843.8
Ontario,2018,15.6,6993,109088.4,77452.8,31635.6,28144.8,14945.1,14508.8
Ontario,2019,15.6,7126,111166.7,78928.4,32238.3,28681.0,15229.8,14785.2
Ontario,2020,15.6,7661,119504.2,84848.0,34656.2,30832.1,16372.1,15894.1
Ontario,2021,15.6,8229,128368.5,91141.7,37226.9,33119.1,17586.5,17073.0
Ontario,2022,15.6,8302,129507.5,91950.3,37557.2,33412.9,17742.5,17224.5
Ontario,2023,15.6,8569,133674.1,94908.6,38765.5,34487.9,18313.4,17778.7
Ontario,2024,15.6,9149,142730.2,101338.5,41391.8,36824.4,19554.0,18983.1
Quebec,2015,8.6,5895,50699.9,35997.0,14703.0,13080.6,6945.9,6743.1
Quebec,2016,8.6,6119,52625.3,37364.0,15261.3,13577.3,7209.7,6999.2
Quebec,2017,8.6,6415,55172.5,39172.4,16000.0,14234.5,7558.6,7337.9
Quebec,2018,8.6,6522,56091.7,39825.1,16266.6,14471.7,7684.6,7460.2
Quebec,2019,8.6,6777,58278.8,41377.9,16900.8,15035.9,7984.2,7751.1
Quebec,2020,8.6,7371,63390.9,45007.5,18383.3,16354.8,8684.5,8431.0
Quebec,2021,8.6,7741,66574.3,47267.8,19306.6,17176.2,9120.7,8854.4
Quebec,2022,8.6,7978,68613.8,48715.8,19898.0,17702.4,9400.1,9125.6
Quebec,2023,8.6,8236,70827.8,50287.7,20540.1,18273.6,9703.4,9420.1
Quebec,2024,8.6,8661,74484.0,52883.6,21600.4,19216.9,10204.3,9906.4
